method,step,epoch,accuracy,reward,loss,clip_ratio,clip_ratio/high_max,clip_ratio/high_mean,clip_ratio/low_mean,clip_ratio/low_min,clip_ratio/region_mean,completions/clipped_ratio,completions/max_length,completions/max_terminated_length,completions/mean_length,completions/mean_terminated_length,completions/min_length,completions/min_terminated_length,dpo_z/advantage_mean,dpo_z/beta,entropy,frac_reward_zero_std,grad_norm,learning_rate,num_tokens,prime/filtered_prompts_frac,prime/prm_loss,prime/prm_reliability,prime/process_norm,prime/process_weight,prime/refill_rounds,reward_std,rewards/accuracy_reward/mean,rewards/accuracy_reward/std,step_time
vanilla,5,0.02674,0.5813,0.5813,-0.01978,0.0,,,,,,0.04063,16220.0,15950.0,5264.0,4824.0,723.2,723.2,,,,0.125,0.08703,6e-07,1717000.0,,,,,,,0.4901,0.5813,0.4901,266.4
vanilla,10,0.05348,0.6625,0.6625,-0.03479,0.0,,,,,,0.03125,15610.0,14210.0,4646.0,4277.0,685.2,685.2,,,,0.05,0.1003,1.35e-06,3233000.0,,,,,,,0.4708,0.6625,0.4708,222.6
vanilla,15,0.08021,0.6,0.6,-0.04634,0.0,,,,,,0.05625,15440.0,13580.0,4880.0,4255.0,742.8,742.8,,,,0.125,0.09665,1.498e-06,4825000.0,,,,,,,0.4854,0.6,0.4854,219.2
vanilla,20,0.107,0.6719,0.6719,-0.03538,0.0,,,,,,0.04063,14710.0,13610.0,4561.0,4061.0,745.6,745.6,,,,0.1,0.0962,1.49e-06,6313000.0,,,,,,,0.4731,0.6719,0.4731,210.9
vanilla,25,0.1337,0.6344,0.6344,-0.02015,0.0,,,,,,0.02187,15190.0,14430.0,4048.0,3757.0,693.0,693.0,,,,0.1,0.1139,1.477e-06,7635000.0,,,,,,,0.4799,0.6344,0.4799,203.9
vanilla,30,0.1604,0.6781,0.6781,-0.02352,0.0,,,,,,0.02813,16380.0,15530.0,4713.0,4382.0,649.4,649.4,,,,0.125,0.1053,1.458e-06,9169000.0,,,,,,,0.4665,0.6781,0.4665,213.6
vanilla,35,0.1872,0.6875,0.6875,-0.01896,0.0,,,,,,0.01562,15280.0,11480.0,3567.0,3368.0,556.0,556.0,,,,0.125,0.1019,1.433e-06,10340000.0,,,,,,,0.4565,0.6875,0.4565,201.8
vanilla,40,0.2139,0.6562,0.6562,-0.01808,0.0,,,,,,0.02187,16120.0,14600.0,4523.0,4257.0,560.8,560.8,,,,0.1,0.1209,1.403e-06,11820000.0,,,,,,,0.4727,0.6562,0.4727,226.6
vanilla,45,0.2406,0.6344,0.6344,-0.01354,0.0,,,,,,0.01562,14640.0,13610.0,4088.0,3901.0,634.2,634.2,,,,0.05,0.1053,1.368e-06,13160000.0,,,,,,,0.4735,0.6344,0.4735,191.4
vanilla,50,0.2674,0.6813,0.6813,-0.04646,0.0,,,,,,0.04375,15300.0,13430.0,4543.0,4045.0,684.2,684.2,,,,0.15,0.1229,1.327e-06,14640000.0,,,,,,,0.4598,0.6813,0.4598,193.8
vanilla,55,0.2941,0.6531,0.6531,-0.01132,0.0,,,,,,0.0125,13490.0,13020.0,3346.0,3187.0,509.8,509.8,,,,0.175,0.1169,1.283e-06,15740000.0,,,,,,,0.4774,0.6531,0.4774,174.1
vanilla,60,0.3209,0.6594,0.6594,-0.01312,0.0,,,,,,0.02813,16380.0,13630.0,4214.0,3861.0,715.2,715.2,,,,0.125,0.09535,1.234e-06,17120000.0,,,,,,,0.4673,0.6594,0.4673,208.4
vanilla,65,0.3476,0.6062,0.6062,-0.03569,0.0,,,,,,0.03438,16180.0,14650.0,4448.0,4034.0,655.4,655.4,,,,0.1,0.09774,1.181e-06,18570000.0,,,,,,,0.4921,0.6062,0.4921,197.3
vanilla,70,0.3743,0.6438,0.6438,-0.01318,0.0,,,,,,0.01562,14800.0,13930.0,4053.0,3863.0,554.6,554.6,,,,0.075,0.103,1.125e-06,19890000.0,,,,,,,0.4798,0.6438,0.4798,200.9
vanilla,75,0.4011,0.6094,0.6094,-0.03974,0.0,,,,,,0.03438,16270.0,15310.0,5154.0,4764.0,712.8,712.8,,,,0.025,0.1127,1.066e-06,21570000.0,,,,,,,0.4896,0.6094,0.4896,218.0
vanilla,80,0.4278,0.6,0.6,-0.04626,0.0,,,,,,0.05937,16080.0,14550.0,5320.0,4664.0,845.6,845.6,,,,0.075,0.08779,1.004e-06,23310000.0,,,,,,,0.4921,0.6,0.4921,214.5
vanilla,85,0.4545,0.65,0.65,-0.04318,0.0,,,,,,0.04688,16380.0,14000.0,4661.0,4080.0,688.2,688.2,,,,0.125,0.1064,9.409e-07,24830000.0,,,,,,,0.4774,0.65,0.4774,202.6
vanilla,90,0.4813,0.6906,0.6906,-0.0215,0.0,,,,,,0.025,16380.0,14490.0,4492.0,4188.0,568.8,568.8,,,,0.05,0.1183,8.759e-07,26290000.0,,,,,,,0.46,0.6906,0.46,300.4
prime,5,0.02674,0.5398,0.5398,-0.04719,,0.0,0.0,0.0,0.0,0.0,0.05422,14310.0,12920.0,4980.0,4392.0,948.8,948.8,,,0.5647,0.1829,0.08334,6e-07,2841000.0,0.0,0.6862,0.4913,5.641,5.0,2.6,0.4649,0.5398,0.4649,996.4
dpo_z,5,0.02674,0.5813,0.5813,0.2985,0.0,,,,,,0.04063,16220.0,15950.0,5264.0,4824.0,723.2,723.2,-0.3266,0.1,,0.125,0.05356,6e-07,1717000.0,,,,,,,0.4901,0.5813,0.4901,387.6
dpo_z,10,0.05348,0.6625,0.6625,0.2576,0.0,,,,,,0.03125,15610.0,14210.0,4646.0,4277.0,685.2,685.2,-0.2872,0.1,,0.05,0.0522,1.35e-06,3233000.0,,,,,,,0.4708,0.6625,0.4708,338.3
dpo_z,15,0.08021,0.6,0.6,0.2638,0.0,,,,,,0.05625,15440.0,13580.0,4880.0,4255.0,742.8,742.8,-0.3151,0.1,,0.125,0.06078,1.498e-06,4825000.0,,,,,,,0.4854,0.6,0.4854,353.3
dpo_z,20,0.107,0.6719,0.6719,0.2468,0.0,,,,,,0.04063,14710.0,13610.0,4561.0,4061.0,745.6,745.6,-0.2813,0.1,,0.1,0.0519,1.49e-06,6313000.0,,,,,,,0.4731,0.6719,0.4731,338.4
dpo_z,25,0.1337,0.6344,0.6344,0.2897,0.0,,,,,,0.02187,15190.0,14430.0,4048.0,3757.0,693.0,693.0,-0.3101,0.1,,0.1,0.06497,1.477e-06,7635000.0,,,,,,,0.4799,0.6344,0.4799,321.4
dpo_z,30,0.1604,0.6781,0.6781,0.2452,0.0,,,,,,0.02813,16380.0,15530.0,4713.0,4382.0,649.4,649.4,-0.268,0.1,,0.125,0.06705,1.458e-06,9169000.0,,,,,,,0.4665,0.6781,0.4665,354.4
dpo_z,35,0.1872,0.6875,0.6875,0.2361,0.0,,,,,,0.01562,15280.0,11480.0,3567.0,3368.0,556.0,556.0,-0.2483,0.1,,0.125,0.05453,1.433e-06,10340000.0,,,,,,,0.4565,0.6875,0.4565,338.7
dpo_z,40,0.2139,0.6562,0.6562,0.2513,0.0,,,,,,0.02187,16120.0,14600.0,4523.0,4257.0,560.8,560.8,-0.266,0.1,,0.1,0.08881,1.403e-06,11820000.0,,,,,,,0.4727,0.6562,0.4727,349.2
dpo_z,45,0.2406,0.6344,0.6344,0.2968,0.0,,,,,,0.01562,14640.0,13610.0,4088.0,3901.0,634.2,634.2,-0.3112,0.1,,0.05,0.0706,1.368e-06,13160000.0,,,,,,,0.4735,0.6344,0.4735,277.0
dpo_z,50,0.2674,0.6813,0.6813,0.2106,0.0,,,,,,0.04375,15300.0,13430.0,4543.0,4045.0,684.2,684.2,-0.2516,0.1,,0.15,0.06657,1.327e-06,14640000.0,,,,,,,0.4598,0.6813,0.4598,294.1
